generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,gaussian,0.5,36,359,x_13*x_16*,PRODUCT,True,0.17666135728359222,0.7106594709471972
interaction,gaussian,0.5,37,263,x_8*x_20*,PRODUCT,True,0.17495906352996826,0.7134475315782846
interaction,gaussian,0.5,38,295,x_9*x_30*,PRODUCT,True,0.17322459816932678,0.7162882836974147
interaction,gaussian,0.5,39,279,x_9*x_14*,PRODUCT,True,0.17172640562057495,0.7187420621090848
interaction,gaussian,0.5,40,429,x_17*x_24*,PRODUCT,True,0.1704198718070984,0.7208819368990754
interaction,gaussian,0.5,41,377,x_14*x_17*,PRODUCT,True,0.16896004974842072,0.7232728711320934
interaction,gaussian,0.5,42,271,x_8*x_28*,PRODUCT,True,0.16755369305610657,0.7255762384086047
interaction,gaussian,0.5,43,355,x_12*x_30*,PRODUCT,True,0.1663305163383484,0.7275795887965059
interaction,gaussian,0.5,44,303,x_10*x_17*,PRODUCT,True,0.16534925997257233,0.7291867157900697
interaction,gaussian,0.5,45,386,x_14*x_26*,PRODUCT,True,0.16419851779937744,0.7310714310119792
interaction,gaussian,0.5,46,382,x_14*x_22*,PRODUCT,True,0.16300338506698608,0.7330288502370751
interaction,gaussian,0.5,47,444,x_18*x_26*,PRODUCT,True,0.1619717925786972,0.734718419030828
interaction,gaussian,0.5,48,306,x_10*x_20*,PRODUCT,True,0.16100503504276276,0.7363017994667885
interaction,gaussian,0.5,49,106,x_2*x_16*,PRODUCT,True,0.1599573940038681,0.7380176529907971
interaction,gaussian,0.5,50,118,x_2*x_28*,PRODUCT,True,0.15891943871974945,0.7397176429357286
interaction,gaussian,0.5,51,503,x_24*x_28*,PRODUCT,True,0.15756343305110931,0.7419385440065446
interaction,gaussian,0.5,52,264,x_8*x_21*,PRODUCT,True,0.15667767822742462,0.7433892561104066
interaction,gaussian,0.5,53,462,x_20*x_21*,PRODUCT,True,0.15510106086730957,0.7459714807015899
interaction,gaussian,0.5,54,57,x_0*x_26*,PRODUCT,True,0.1539834886789322,0.7478018692665365
interaction,gaussian,0.5,55,34,x_0*x_3*,PRODUCT,True,0.15307234227657318,0.7492941683530872
interaction,gaussian,0.5,56,136,x_3*x_18*,PRODUCT,True,0.1516454666852951,0.7516311420117361
interaction,gaussian,0.5,57,471,x_20*x_30*,PRODUCT,True,0.1506311297416687,0.7532924492292253
interaction,gaussian,0.5,58,73,x_1*x_12*,PRODUCT,True,0.14961102604866028,0.7549632013776421
interaction,gaussian,0.5,59,77,x_1*x_16*,PRODUCT,True,0.1482696682214737,0.7571601118357919
interaction,gaussian,0.5,60,208,x_6*x_12*,PRODUCT,True,0.1472984105348587,0.7587508627346468
interaction,gaussian,0.5,61,207,x_6*x_11*,PRODUCT,True,0.14506782591342926,0.7624041717796203
interaction,gaussian,0.5,62,135,x_3*x_17*,PRODUCT,True,0.14405277371406555,0.7640666504614105
interaction,gaussian,0.5,63,131,x_3*x_13*,PRODUCT,True,0.14291976392269135,0.7659223231308555
interaction,gaussian,0.5,64,365,x_13*x_22*,PRODUCT,True,0.14153945446014404,0.7681830295824023
interaction,gaussian,0.5,65,122,x_3*x_4*,PRODUCT,True,0.14052757620811462,0.7698403098913564
interaction,gaussian,0.5,66,154,x_4*x_9*,PRODUCT,True,0.13927361369132996,0.7718940820552169
interaction,gaussian,0.5,67,281,x_9*x_16*,PRODUCT,True,0.1379534900188446,0.7740562146669283
interaction,gaussian,0.5,68,322,x_11*x_16*,PRODUCT,True,0.13689129054546356,0.7757959123705654
interaction,gaussian,0.5,69,491,x_22*x_31*,PRODUCT,True,0.13582800328731537,0.7775373916761604
interaction,gaussian,0.5,70,356,x_12*x_31*,PRODUCT,True,0.13409395515918732,0.7803774604411149
interaction,gaussian,0.5,71,286,x_9*x_21*,PRODUCT,True,0.1330861896276474,0.7820280048303379
interaction,gaussian,0.5,72,473,x_21*x_22*,PRODUCT,True,0.13197845220565796,0.7838422857611443
