mode,rho,n,feature_idx,label,feat_type,S_dir,lynn_metric
half_normal,0.5,22,96,x_2*x_6,PRODUCT,0.24491147696971893,0.5991974111377146
half_normal,0.5,23,129,x_3*x_11,PRODUCT,0.23968514800071716,0.607750404271968
half_normal,0.5,24,280,x_9*x_15,PRODUCT,0.23755916953086853,0.6112296110658831
half_normal,0.5,25,163,x_4*x_18,PRODUCT,0.23263198137283325,0.6192930542086327
half_normal,0.5,26,87,x_1*x_26,PRODUCT,0.2305375188589096,0.6227206845028201
half_normal,0.5,27,179,x_5*x_8,PRODUCT,0.2255874127149582,0.6308216333933621
half_normal,0.5,28,62,x_0*x_31,PRODUCT,0.22347776591777802,0.634274113074416
half_normal,0.5,29,425,x_17*x_20,PRODUCT,0.21829679608345032,0.6427528750667446
half_normal,0.5,30,305,x_10*x_19,PRODUCT,0.2164023369550705,0.6458531957725901
exponential,0.5,1,130,x_3*x_12,PRODUCT,0.4174817204475403,0.31323661044549533
exponential,0.5,2,390,x_14*x_30,PRODUCT,0.35494694113731384,0.41610721507483167
exponential,0.5,3,442,x_18*x_24,PRODUCT,0.3210415840148926,0.4718820115293651
exponential,0.5,4,90,x_1*x_29,PRODUCT,0.29909035563468933,0.5079920955615779
exponential,0.5,5,401,x_15*x_25,PRODUCT,0.2833952307701111,0.5338108000067067
exponential,0.5,6,473,x_21*x_22,PRODUCT,0.2716611921787262,0.5531134609891902
exponential,0.5,7,187,x_5*x_16,PRODUCT,0.26242783665657043,0.5683024626263393
exponential,0.5,8,450,x_19*x_20,PRODUCT,0.2534734308719635,0.583032587963302
exponential,0.5,9,156,x_4*x_11,PRODUCT,0.24418534338474274,0.5983116244642643
exponential,0.5,10,44,x_0*x_13,PRODUCT,0.23485776782035828,0.6136556194158407
exponential,0.5,11,96,x_2*x_6,PRODUCT,0.22538523375988007,0.6292380731627274
exponential,0.5,12,309,x_10*x_23,PRODUCT,0.2155294418334961,0.6454509915699129
exponential,0.5,13,269,x_8*x_26,PRODUCT,0.20528456568717957,0.6623039590729405
exponential,0.5,14,432,x_17*x_27,PRODUCT,0.19511952996253967,0.6790255879426134
exponential,0.5,15,293,x_9*x_28,PRODUCT,0.1840195208787918,0.6972852613344652
exponential,0.5,16,7,x_7,LINEAR,0.17714624106884003,0.7085919047357113
exponential,0.5,17,31,x_31,LINEAR,0.16900134086608887,0.7219903818350875
exponential,0.5,18,50,x_0*x_19,PRODUCT,0.16731151938438416,0.724770162294154
exponential,0.5,19,363,x_13*x_20,PRODUCT,0.16435988247394562,0.7296256471455002
exponential,0.5,20,340,x_12*x_15,PRODUCT,0.16286787390708923,0.732080022535925
